"","rep","boot_mean","boot_median","boot_sd","boot_p05","boot_p95","fe_est","fe_se"
"5%276",277,1.99927635690322,1.99908870749499,0.00818384045041658,1.98525455532659,2.01307439402704,1.99909407448722,0.0120965593724519
"5%277",278,2.00065644541334,2.00072436429222,0.00886736926330066,1.98552093739956,2.01475442288522,2.00055792398665,0.0113833125469552
"5%278",279,1.99645739433436,1.99645585165665,0.0100214397427833,1.97933175625219,2.01266014491103,1.99630490113984,0.00911510001306889
"5%279",280,1.9936178902507,1.99368746562127,0.00861764128485823,1.97937679401831,2.00682124812061,1.99393716885032,0.00907438704921779
"5%280",281,1.98539645052165,1.98533303461093,0.00897047363328307,1.97059896419597,1.99974380541274,1.98532599297451,0.00955570923696317
"5%281",282,2.00895423083636,2.00930419398473,0.0088008208144151,1.99449558483838,2.02287252348314,2.00926949629556,0.010677358365033
"5%282",283,2.0001067315927,2.00019409393925,0.0100384689086386,1.98432683734315,2.0172850866454,2.00000461846138,0.0146448884320896
"5%283",284,1.99722977408954,1.99673648533426,0.00921303740962892,1.98250060493013,2.01264050729467,1.99764538978816,0.010625245980073
"5%284",285,2.00187952856882,2.00189159685535,0.0089270994580686,1.98708298049388,2.01620188811139,2.00175037508874,0.00920461799983678
"5%285",286,1.98313517002011,1.98333247967116,0.00892057703668028,1.96771109894501,1.99727391949677,1.98302219992636,0.00899221831973525
"5%286",287,2.01403819975292,2.01382332800444,0.00759508031030435,2.0019677407857,2.02641285659213,2.01460927535464,0.00659697116192719
"5%287",288,2.01231631740996,2.01265307519596,0.00979498997367952,1.99650488945162,2.02780660365966,2.01261989487202,0.016848490739454
"5%288",289,2.01658214250422,2.01650671069822,0.00987266082643993,1.99987973394453,2.03232751241541,2.01633061668223,0.00810188268996609
"5%289",290,2.00643765773057,2.00664384767073,0.00850935684263325,1.99220143192253,2.0202461120013,2.00625171502781,0.00809823125057871
"5%290",291,1.99770037299007,1.99792946925885,0.00890015964310746,1.98335254356506,2.01178646439989,1.99754441624661,0.00921589078430865
"5%291",292,2.00084796384238,2.00068570684386,0.00864344481521572,1.98737853947602,2.01466069705844,2.00084751428314,0.0153893390339816
"5%292",293,1.99814475263538,1.99806444470313,0.00889737960558941,1.9835364242321,2.01317751991625,1.99838587381975,0.00693982764012612
"5%293",294,2.01075140559517,2.01069316176675,0.00865184827989075,1.99688609680611,2.02486435046498,2.01100645389877,0.0128160738433304
"5%294",295,2.01028551635925,2.01057997157526,0.0113536599840769,1.99182595563519,2.02873913500146,2.01044330938634,0.0127090650888639
